Variable, Definition
"MSEFITFUN", 	MSE fit function
"PLASMA(ntime)", 	measured plasma current in Amp
"PRESSR(ntime, npress)", 	measured pressure vs. normalized flux (kinetic fits only)
"PRESW(ntime, npresw)", 	measured rotational pressure vs. normalized flux (kinetic fits only)
"PSIREF(ntime)", 	measured reference flux loop
"RPRESS(ntime, npress)", "| <0:input pressure profile vs. flux;
| >0:R coordinates of input pressure profile in m"
"RPRESW(ntime, npresw)", "| <0:input rotational pressure profile vs. flux;
| >0:R coordinates of input rotational pressure profile in m"
"RRGAM(ntime, nstark)", radius (R position) of MSE channels
"CHIECC(ntime, nesum)",	chisq for E-coil currents
"CHIFCC(ntime, nfsum)",	chisq for F-coil currents
"CHIPASMA(ntime)", 	chisq for plasma current
"SAIMPI(ntime, magpri)", chisq magnetic probes
"SAIPRE(ntime, npress)",	chisq of pressure
"SAIPRW(ntime, npresw)",	chisq of rotational pressure
"SAISIL(ntime, nsilop)",	chisq for flux loops
"SAISREF(ntime)", 	chisq for reference flux loop
"SHOT",	shot number
"SIGPASMA(ntime)", 	uncertainty in plasma current
"SIGDIA(ntime)",	uncertainty in diamagnetic flux
"SIGECC(ntime, nesun)",	uncertainty in E-coil currents
"SIGFCC(ntime, nfsum)",	uncertainty in F-coil currents
"SIGGAM(ntime, nstark)",	uncertainty of tangam
"SIGMPI(ntime, magpri)", uncertainty in magnetic probes
"SIGPRE(ntime, npress)",	uncertainty for pressure
"SIGPRW(ntime, npresw)",	uncertainty for rotational pressure
"SIGREF(ntime)", 	uncertainty in reference flux loop
"SIGSIL(ntime, nsilop)",	uncertainty in flux loops
"SILOPT(ntime, nsilop)",	measured flux loops
"TANGAM(ntime, nstark)",	tangent of measured MSE pitch angle
"TANGAM_UNCOR(ntime, nstark)",	tangent of measured MSE pitch angle w/o cer correction
"TIME(ntime)",	time slice in msec
"VPORT(nstark)",	view port locations of MSE system
"XRSP(ntime, npcurn)", plasma coefficients
"ZPRESS(ntime, npress)", Z coordinates of input pressure profile in m
"ZPRESW(ntime, npresw)", Z coordinates of input rotational pressure profile in m
"ZZGAM(ntime, nstark)",	Z position of MSE channels
