Variable, Default, Description
FCURBD,1.0, "| FF' Boundary Constraint.
| 1.0 = force FF'=0 at boundary (default).
| 0.0 = let FF' have a finite value at boundary
| The method for forcing FF'=0 is the same as for P'=0 (see PCURBD).
| Note: even though this input is a floating point number (to support legacy inputs) it should be treated as an integer flag."
WCURBD,1.0, "| POmega' Boundary Constraint.
| 1.0 = force POmega'=0 at boundary (default).
| 0.0 = let POmega' have a finite value at boundary
| The method for forcing POmega'=0 is the same as for P'=0 (see PCURBD).
| Note: even though this input is a floating point number (to support legacy inputs) it should be treated as an integer flag."
ECURBD,1.0, "| Er Boundary Constraint.
| 1.0 = force Er=0 at boundary (default).
| 0.0 = let Er have a finite value at boundary
| The method for forcing Er=0 is the same as for P'=0 (see PCURBD).
| Note: even though this input is a floating point number (to support legacy inputs) it should be treated as an integer flag."
KCALPA, 0, "| = number of constraints on coefficients alpha for P' (only relevant when ICURRT=2) 
| specified through matrix CALPA and vector XALPA. For both equilibrium and fitting."
CALPA, zeros, "| Constraint matrix for P' when ICURRT=2 and KCALPA>0.
| KPPFNC=0
| Defines constraint equations of the form CALPA(1,i) alpha(1) + CALPA(2,i) alpha(2) +...+ CALPA(n,i) alpha(n) = XALPA(i) for i=1 to KCALPA, where n = KPPCUR. 
| Can scale coefficients up or down relative to nominal weights of 1 to get stronger or weaker constraint, respectively.
| KPPFNC=6
| Defines constraint equations of the form CALPA(1,i) ppknot(1)+CALPA(2,i) ppknot(1)'+CALPA(3,i) ppknot(2) +...+ CALPA(2n,i) ppknot(n)'=XALPA(i) for i=1 to KCALPA, where n = KPPKNT."
XALPA, zeros, Constraint vector for P' when ICURRT=2 and KCALPA>0. See CALPA.
KCGAMA, 0, "| = number of constraints on coefficients gamma for FF' (only relevant when ICURRT=2),
| specified through matrix CGAMA and vector XGAMA. For both equilibrium and fitting."
CGAMA, zeros, "| Constraint matrix for FF' when ICURRT=2 and KCGAMA>0. If KFFFNC = 0, defines constraint
| equations of the form CGAMA(1,i) gamma(1) + CGAMA(2,i) gamma(2) +...+ CGAMA(n,i)
| gamma(n) = XGAMA(i) for i=1 to KCGAMA, where n = KFFCUR. If KFFFNC = 6, see description under CALPA."
XGAMA, zeros, Constraint vector for FF' when ICURRT=2 and KCGAMA>0. See CGAMA.
KFFKNT, , Number of knots for FF' in spline representation. Ignored unless KFFFNC=6.
FFKNT, , "FF' knot locations in normalized psi, must be between 0 and 1. Vector of length KFFKNT. Ignored unless KFFFNC=6."
FFTENS, , "FF' spline tension, small (e.g., 0.1) = approximately(?) cubic, large (e.g., 10.0) = approximately(?) piecewise linear. Ignored unless KFFFNC=6."
KFFBDRY, , "Constraint switch for FF' (0=off, 1=on) for each knot. Vector of length KFFKNT. Default 0's. Ignored unless KFFFNC=6."
FFBDRY, , "FF' value for each knot, used only when KFFBDRY=1. Vector of length KFFKNT. Ignored unless KFFFNC=6."
KFF2BDRY, , "Constraint switch for (FF')' (0=off, 1=on) for each knot. Vector of length KFFKNT. Default 0's. Ignored unless KFFFNC=6."
FF2BDRY, , "(FF')' value for each knot, used only when KFFBDRY=1. Vector of length KFFKNT. Ignored unless KFFFNC=6."
KPPKNT, , Number of knots for P' in spline representation. Ignored unless KPPFNC=6.
PPKNT, , "P' knot locations in normalized psi, must be between 0 and 1. Vector of length KPPKNT. Ignored unless KPPFNC=6."
PPTENS, , "P' spline tension, small (e.g., 0.1) = approximately(?) cubic, large (e.g., 10.0) = approximately(?) piecewise linear. Ignored unless KPPFNC=6."
KPPBDRY, , Constraint switch for P'. Vector of length KPPKNT. Ignored unless KPPFNC=6.
PPBDRY, , P' at each knot location where KPPBDRY=1. Vector of length KPPKNT. Ignored unless KPPFNC=6.
KPP2BDRY, , Constraint switch for (P')'. Vector of length KPPKNT. Ignored unless KPPFNC=6.
PP2BDRY, , (P')' at each knot location where KPP2BDRY=1. Vector of length KPPKNT. Ignored unless KPPFNC=6.
KWWKNT, , Number of knots for POmega' in spline representation. Ignored unless KWWFNC=6.
WWKNT, , "array of POmega' knot locations in normalized psi for spline basis function, must be between 0 and 1. Vector of length KWWKNT. Ignored unless KWWFNC=6."
WWTENS , ,"POmega' spline tension, small (e.g., 0.1) = approximately(?) cubic, large (e.g., 10.0) = approximately(?) piecewise linear. Ignored unless KWWFNC=6."
KWWBDRY, , Constraint switch for POmega'. Vector of length KWWKNT. Ignored unless KWWFNC=6.
WWBDRY, , POmega' at each knot location where KWWBDRY=1. Vector of length KWWKNT. Ignored unless KWWFNC=6.
KWW2BDRY, , Constraint switch for (POmega')'. Vector of length KWWKNT. Ignored unless KWWFNC=6.
WW2BDRY, , (POmega')' at each knot location where KWW2BDRY=1. Vector of length KWWKNT. Ignored unless KWWFNC=6.
KEEKNT, , Number of knots for Er in spline representation. Ignored unless KEEFNC=6.
EEKNT, , "array of Er knot locations in normalized psi for spline basis function, must be between 0 and 1. Vector of length KEEKNT. Ignored unless KEEFNC=6."
EETENS , ,"Er spline tension, small (e.g., 0.1) = approximately(?) cubic, large (e.g., 10.0) = approximately(?) piecewise linear. Ignored unless KEEFNC=6."
KEEBDRY, , Constraint switch for Er. Vector of length KEEKNT. Ignored unless KEEFNC=6.
EEBDRY, , Er at each knot location where KEEBDRY=1. Vector of length KEEKNT. Ignored unless KEEFNC=6.
KEE2BDRY, , Constraint switch for (Er)'. Vector of length KEEKNT. Ignored unless KEEFNC=6.
EE2BDRY, , (Er)' at each knot location where KEE2BDRY=1. Vector of length KEEKNT. Ignored unless KEEFNC=6.
KEDGEP,0, "Switch to turn on a tanh edge contribution to pressure. The form is tanh[(psi − PE_PSIN)/PE_WIDTH]"
PE_PSIN,0.98, "Center point of tanh contribution. Ignored unless KEDGEP>0."
PE_WIDTH,0.02, "Width of tanh contribution. Ignored unless KEDGEP>0."
PEDGE,0.0, "Ignored unless KEDGEP>0."
KEDGEF,0, "Switch to turn on a tanh edge contribution to FF'. The form is tanh[(psi - FE_PSIN)/FE_WIDTH]"
FE_PSIN,0.98, :Center point of tanh contribution. Ignored unless KEDGEF>0."
FE_WIDTH,0.02, "Width of tanh contribution. Ignored unless KEDGEF>0."
F2EDGE,0.0, "? Ignored unless KEDGEF>0."
PSIECN,0, "Center point of local cos^2 contribution to FF'."
DPSIECN,0, "Half width of local cos^2 contribution to FF'."
